t_s,B_x_nT,B_y_nT,B_z_nT
0,0,0,0
0.5,29380.0094711926,1807.43515526393,-7934.94970477438
1,29749.0804283172,201.010590116908,-6655.85378241948
1.5,29981.7654030911,-1368.27727685724,-5338.99986511169
2,30082.5229226266,-2888.14195488443,-3989.98637590919
2.5,30057.0913268511,-4346.31672678564,-2614.9417022279
3,29912.3446073001,-5732.38833557317,-1219.6261223879
3.5,29656.1017430669,-7036.76133902722,190.128087524002
4,29297.0391265389,-8250.74319538855,1608.4409352451
4.5,28844.5955698771,-9366.61976090693,3029.40910508353
5,28308.8707226859,-10377.7211418547,4447.1304273874
5.5,27700.5179704313,-11278.4769830838,5855.7282922099
6,27030.6328872141,-12064.4607628684,7249.37590803612
6.5,26310.6383414877,-12732.4227727985,8622.32030723408
7,25552.1673674718,-13280.3115705718,9968.90600105921
7.5,24766.9449189643,-13707.2838013051,11283.5981885646
8,23966.6696166171,-14013.7023886836,12561.0054256509
8.5,23162.896585157,-14201.1232001391,13795.901662722
9,22366.9224542049,-14272.2703897098,14983.2475619923
9.5,21589.6735659293,-14231.0007178298,16118.2110084129
10,20841.5983953874,-14082.2572386768,17196.1867314367
10.5,20132.5651456293,-13832.0128326603,18212.8149584247
11,19471.7654299286,-13487.2041439647,19163.9990243921
11.5,18867.6248982678,-13055.6565606772,20045.9218669957
12,18327.7216047336,-12546.0009478044,20855.0613401636
12.5,17858.7128470059,-11967.582911303,21588.2042845442
13,17466.2711387859,-11330.3654339632,22242.4592979977
13.5,17155.0299009333,-10644.8257813638,22815.2681546479
14,16928.5393773144,-9921.84762788552,23304.4158265356
14.5,16789.2331970143,-9172.60939853645,23708.0390676519
15,16738.4059157151,-8408.46986166116,24024.6335260581
15.5,16776.2017758836,-7640.85203990928,24253.0593558896
16,16901.6148281885,-6881.12653152921,24392.5453072784
16.5,17112.500455668,-6140.49535044298,24442.6912785805
17,17405.598238103,-5429.87740095572,24403.4693217335
17.5,17776.5659874931,-4759.79670065726,24275.2230980735
18,18220.0246773234,-4140.27445242264,24058.6657884675
18.5,18729.6138794476,-3580.72604282357,23754.8764681535
19,19298.0572140734,-3089.86400924869,23365.294963178
19.5,19917.2372118237,-2675.60797126937,22891.7152117608
20,20578.2788836079,-2345.00246313534,22336.2771602631
20.5,21271.6411955918,-2104.14353381208,21701.4572296541
21,21987.215554488,-1958.1148989872,20990.0573944378
21.5,22714.4303242944,-1910.93433653671,20205.1929218807
22,23442.3603210361,-1965.51091387607,19350.2788250497
22.5,24159.8401684851,-2123.61352350323,18429.0150885879
23,24855.5803465714,-2385.85108319434,17445.3707313182
23.5,25518.2847264069,-2751.66463128021,16403.5667746223
24,26136.7683624403,-3219.33141694504,15308.0581900955
24.5,26700.0743039121,-3785.98095242722,14163.5149041866
25,27197.5881948601,-4447.62286034491,12974.8019413954
25.5,27619.1494545104,-5199.1862171451,11746.9587910884
26,27955.1578677427,-6034.56996490588,10485.1780861008
26.5,28196.6744679011,-6946.70384037151,9194.78368400413
27,28335.5156607028,-7927.61915401587,7881.20824423089
27.5,28364.3396172842,-8968.52864480643,6549.97039614019
28,28276.7240551966,-10059.9145396641,5206.65159459579
28.5,28067.2346268974,-11191.6238616401,3856.87276068766
29,27731.4832443379,-12352.9699585592,2506.27080587298
29.5,27266.1757838598,-13532.8391650316,1160.47513803709
30,26669.1487359822,-14719.8014657665,-174.915752219849
30.5,25939.3944880076,-15902.2239972074,-1494.35752736905
31,25077.075051928,-17068.3862075805,-2792.38296412765
31.5,24083.5241742277,-18206.5954921938,-4063.62454475192
32,22961.2378862957,-19305.3021307392,-5302.8365849911
32.5,21713.8536728825,-20353.2123757465,-6504.91680743816
33,20346.1185501169,-21339.3985754085,-7664.92727158395
33.5,18863.8464529617,-22253.4052588115,-8778.11457481287
34,17273.8654337285,-23085.3501662008,-9839.92924186048
34.5,15583.9552676555,-23826.0192702553,-10846.0442238707
35,13802.7761479807,-24466.9549054365,-11792.372432128
35.5,11939.7892309812,-25000.5362003009,-12675.0832357792
36,10005.169860761,-25420.0510912687,-13490.6178573886
36.5,8009.71436392286,-25719.7592847973,-14235.7036049563
37,5964.74135551511,-25894.9456273612,-14907.3668840711
37.5,3881.98853969588,-25941.9634382671,-15502.9449391263
38,1773.50602136936,-25858.2674583844,-16020.0962779866
38.5,-348.452831405844,-25642.4361676072,-16456.8097401312
39,-2471.54192015377,-25294.1833246084,-16811.4121740839
39.5,-4583.43328474866,-24814.3586835061,-17082.5746958548
40,-6671.92725328721,-24204.9379427707,-17269.3175061268
40.5,-8725.06083150687,-23469.0020813788,-17371.0132500032
41,-10731.2133126667,-22610.7063351567,-17387.3889092594
41.5,-12679.2081202866,-21635.239161733,-17318.5262231807
42,-14558.4099364724,-20548.7716347796,-17164.8606402031
42.5,-16358.8162175259,-19358.3977964765,-16927.1788086624
43,-18071.1422558555,-18072.0665805785,-16606.6146209836
43.5,-19686.8990124873,-16698.5059962764,-16204.6438315765
44,-21198.4630172474,-15247.1403344003,-15723.0772745193
44.5,-22599.1377133424,-13728.0012216007,-15164.0527127822
45,-23883.2057089134,-12151.633404209,-14530.0253562563
45.5,-25045.9714893403,-10528.9961907836,-13823.7570911644
46,-26083.7942397132,-8871.36152029234,-13048.3044685496
46.5,-26994.1105259213,-7190.20965090665,-12207.0055044143
47,-27775.4466841275,-5497.1234821094,-11303.4653487243
47.5,-28427.4208708179,-3803.68252996409,-10341.5408848694
48,-28950.7348279174,-2121.35757186,-9325.32432527422
48.5,-29347.1555183997,-461.406962887683,-8259.12587266748
49,-29619.4868861833,1165.22439856313,-7147.45552003764
49.5,-29771.5320886961,2748.00251296653,-5995.00406550853
50,-29808.0466402033,4276.89723060542,-4806.62342126535
50.5,-29734.6829878137,5742.46986512618,-3587.30629823191
51,-29557.9271190994,7135.95468428261,-2342.16535044451
51.5,-29285.0278697343,8449.33356021949,-1076.41186498213
52,-28923.9196608629,9675.40313542519,204.665915110706
52.5,-28483.1394486078,10807.8339392147,1495.72474622865
53,-27971.7387119239,11841.2209722004,2791.38852835605
53.5,-27399.1913397908,12771.125361595,4086.27054781642
54,-26775.2983045174,13594.1067773179,5374.99572824925
54.5,-26110.0900248876,14307.7463867515,6652.22279955588
55,-25413.7273312712,14910.6602137018,7912.66629500693
55.5,-24696.4019450498,15402.5028538302,9151.11828749049
56,-23968.2373772069,15783.9615838158,10362.4697770006
56.5,-23239.1911362085,16056.7409841611,11541.7316429155
57,-22518.9591138855,16223.5382753583,12684.0550763935
57.5,-21816.8829904444,16288.0096436767,13784.7514103144
58,-21141.8614665022,16254.7279057968,14839.3112666099
58.5,-20502.2660916304,16129.1319306655,15843.4229435591
59,-19905.8624157422,15917.4683021047,16792.9899686549
59.5,-19359.7371421378,15626.7257667368,17684.1477459766
60,-18870.23190945,15264.5630685957,18513.2792306233
60.5,-18442.8842743676,14839.230824264,19277.0295666504
61,-18082.3764080612,14359.4881404118,19972.3196291137
61.5,-17792.4919568613,13834.514719065,20596.3584152302
62,-17576.0814520777,13273.8192346233,21146.6542343143
62.5,-17435.0365850318,12687.1448003526,21621.0246510139
63,-17370.2735915318,12084.3723705112,22017.6051414408
63.5,-17381.7259153241,11475.4229470906,22334.856427053
64,-17468.3462427065,10870.1594769816,22571.5704565604
64.5,-17628.117920788,10278.2893357854,22726.8750117006
65,-17858.0756901676,9709.2682980263,22800.2369184153
65.5,-18154.3355795752,9172.20688973305,22791.4638507447
66,-18512.1337258132,8675.78000779854,22700.7047206198
66.5,-18925.8737978714,8228.1406707986,22528.4486526355
67,-19389.1826201317,7836.83873771784,22275.5225488186
67.5,-19894.9735070617,7508.74539404772,21943.0872543262
68,-20435.5167416879,7249.9841588623,21532.6323408954
68.5,-21002.516553532,7065.86911175286,21045.9695306972
69,-21587.1938796946,6960.85097508426,20485.2247889794
69.5,-22180.3741265387,6938.47161526736,19852.8291195107
70,-22772.5790900855,7001.32744714931,19151.5081023099
70.5,-23354.1221418992,7151.04213891722,18384.2702184569
71,-23915.2057449186,7388.24892198299,17554.3940118916
71.5,-24446.0203313061,7712.58271222839,16665.4141430004
72,-24936.8435527064,8122.68214695185,15721.1063934408
72.5,-25378.1389029303,8616.20153721251,14725.4716860384
73,-25760.6527144236,9189.83262944847,13682.7191876933
73.5,-26075.5085431341,9839.33596475722,12597.2485670314
74,-26314.2979815378,10559.5815205914,11473.6314820139
74.5,-26469.1669763713,11344.5982193576,10316.5923758682
75,-26532.8967755786,12187.631792972,9130.98866249719
75.5,-26498.9786874322,13081.2104032002,7921.79038497309
